Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
Male,disloyal Customer,29,Business travel,Business,916,0,1,1,1,4,1,4,4,4,2,5,5,4,4,0,0.0,satisfied
Male,Loyal Customer,48,Business travel,Business,1750,5,5,5,5,4,4,5,4,4,4,4,5,4,4,13,14.0,satisfied
Male,Loyal Customer,43,Personal Travel,Eco,333,3,4,3,2,4,3,4,4,5,5,4,5,5,4,0,0.0,neutral or dissatisfied
Female,Loyal Customer,65,Personal Travel,Eco,1474,2,5,2,3,4,4,4,5,5,2,5,5,5,4,35,34.0,neutral or dissatisfied
Female,disloyal Customer,38,Business travel,Eco,1187,5,4,4,3,2,4,2,2,1,2,2,4,3,2,0,0.0,satisfied
Female,Loyal Customer,40,Business travel,Business,3898,2,2,2,2,2,5,5,4,4,4,4,3,4,3,0,0.0,satisfied
Female,Loyal Customer,38,Business travel,Business,2072,1,1,1,1,3,5,4,5,5,5,5,3,5,5,0,0.0,satisfied
Female,disloyal Customer,22,Business travel,Business,919,5,0,5,3,2,5,2,2,3,3,4,5,5,2,4,8.0,satisfied
Female,Loyal Customer,36,Personal Travel,Eco,607,3,5,3,1,5,3,5,5,4,2,5,3,5,5,0,0.0,neutral or dissatisfied
Male,Loyal Customer,24,Business travel,Eco,409,5,1,1,1,5,5,5,5,5,3,5,1,1,5,0,0.0,satisfied
Male,Loyal Customer,16,Business travel,Business,1900,1,1,1,1,5,4,5,5,4,3,5,5,4,5,0,1.0,satisfied
Male,Loyal Customer,56,Personal Travel,Eco,471,3,3,3,5,5,3,5,5,5,1,1,5,3,5,0,0.0,neutral or dissatisfied
Male,Loyal Customer,43,Personal Travel,Eco Plus,2677,4,3,4,2,4,3,3,4,1,3,2,3,3,3,0,0.0,neutral or dissatisfied
Female,Loyal Customer,60,Business travel,Business,1166,2,5,4,5,4,3,4,2,2,2,2,2,2,4,14,19.0,neutral or dissatisfied
Male,Loyal Customer,33,Business travel,Business,1428,2,2,2,2,4,4,4,4,3,4,4,5,4,4,0,0.0,satisfied
Female,Loyal Customer,27,Personal Travel,Eco,1102,3,3,3,3,2,3,2,2,1,1,4,4,3,2,27,61.0,neutral or dissatisfied
Female,Loyal Customer,18,Business travel,Eco,936,2,5,5,5,2,2,2,2,3,3,4,3,4,2,0,1.0,neutral or dissatisfied
Female,disloyal Customer,57,Business travel,Business,108,3,3,3,4,4,3,4,4,3,4,4,3,4,4,0,0.0,neutral or dissatisfied
Female,disloyal Customer,18,Business travel,Eco,889,3,3,3,2,5,3,4,5,3,2,3,3,2,5,98,98.0,neutral or dissatisfied
Male,Loyal Customer,49,Personal Travel,Eco,192,2,5,2,3,2,1,2,3,4,5,4,2,3,2,210,204.0,neutral or dissatisfied
Male,disloyal Customer,25,Business travel,Business,541,2,5,1,3,4,1,3,4,4,5,5,4,4,4,0,0.0,neutral or dissatisfied
Female,Loyal Customer,25,Business travel,Business,297,1,5,1,5,1,1,1,1,1,2,2,3,2,1,0,0.0,neutral or dissatisfied
Female,disloyal Customer,24,Business travel,Eco,303,0,4,0,2,3,0,3,3,2,2,2,4,4,3,0,0.0,satisfied
Male,Loyal Customer,46,Business travel,Business,2189,0,5,0,1,4,4,3,1,1,1,1,3,1,3,0,16.0,satisfied
Male,Loyal Customer,47,Business travel,Business,1952,4,3,4,4,4,5,5,3,3,4,3,3,3,3,0,0.0,satisfied
Female,disloyal Customer,39,Business travel,Business,442,1,1,1,1,2,1,2,2,3,2,5,5,5,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,46,Business travel,Business,1797,2,2,2,2,3,5,5,4,4,4,4,5,4,4,0,0.0,satisfied
Female,Loyal Customer,59,Business travel,Business,3018,3,3,3,3,4,4,5,3,3,3,3,4,3,3,0,0.0,satisfied
Female,Loyal Customer,48,Personal Travel,Eco,862,2,4,2,3,4,5,4,1,1,2,1,4,1,4,13,4.0,neutral or dissatisfied
Male,Loyal Customer,40,Personal Travel,Eco,449,2,3,2,3,5,2,5,5,5,5,2,2,2,5,1,0.0,neutral or dissatisfied
Male,Loyal Customer,29,Business travel,Business,971,1,2,2,2,1,1,1,1,1,4,3,1,4,1,39,15.0,neutral or dissatisfied
Female,Loyal Customer,43,Business travel,Business,868,1,1,1,1,5,5,5,3,3,4,3,5,3,3,0,1.0,satisfied
Male,Loyal Customer,28,Business travel,Eco,802,4,1,1,1,4,4,4,4,2,1,5,5,2,4,0,0.0,satisfied
Female,Loyal Customer,21,Business travel,Business,954,2,3,3,3,2,2,2,2,4,2,2,4,3,2,12,6.0,neutral or dissatisfied
Female,Loyal Customer,30,Personal Travel,Eco,1226,2,1,2,3,2,2,2,2,2,2,3,4,3,2,34,31.0,neutral or dissatisfied
Female,disloyal Customer,64,Business travel,Eco,224,1,0,0,4,4,0,4,4,3,5,3,3,4,4,16,9.0,neutral or dissatisfied
Female,disloyal Customer,23,Business travel,Eco,1104,2,2,2,4,3,2,3,3,4,1,3,1,4,3,0,0.0,neutral or dissatisfied
Female,Loyal Customer,39,Personal Travel,Eco,980,2,3,2,3,2,2,2,2,2,3,4,3,3,2,6,51.0,neutral or dissatisfied
Male,Loyal Customer,59,Business travel,Eco,163,5,2,2,2,4,5,4,4,5,1,1,2,1,4,1,2.0,satisfied
Female,Loyal Customer,41,Business travel,Business,2399,5,5,5,5,4,5,4,5,5,5,5,4,5,4,0,0.0,satisfied
Male,Loyal Customer,80,Business travel,Business,3005,3,5,5,5,1,4,4,3,3,3,3,4,3,2,6,9.0,neutral or dissatisfied
Female,Loyal Customer,46,Business travel,Business,3521,2,2,2,2,3,5,4,4,4,4,4,3,4,5,5,10.0,satisfied
Female,Loyal Customer,49,Personal Travel,Eco,1144,0,2,0,4,1,2,4,3,3,2,3,2,3,2,12,0.0,satisfied
Female,disloyal Customer,29,Business travel,Eco,737,4,4,4,4,4,4,4,4,3,3,4,3,5,4,0,0.0,neutral or dissatisfied
Female,Loyal Customer,23,Personal Travel,Eco,102,2,4,2,1,3,2,3,3,4,4,4,4,5,3,0,2.0,neutral or dissatisfied
Male,Loyal Customer,19,Personal Travel,Eco,967,3,4,3,4,4,3,2,4,3,2,5,4,4,4,0,0.0,neutral or dissatisfied
Female,Loyal Customer,38,Business travel,Business,2506,5,5,5,5,5,1,4,5,5,5,5,3,5,2,3,0.0,satisfied
Male,Loyal Customer,43,Business travel,Eco Plus,1199,1,0,0,4,4,1,4,4,4,2,3,1,3,4,0,0.0,neutral or dissatisfied
Male,Loyal Customer,48,Business travel,Business,201,2,1,2,2,2,4,4,4,4,5,5,5,4,4,0,0.0,satisfied
Female,Loyal Customer,56,Personal Travel,Eco,539,2,4,2,4,5,4,5,5,5,2,1,3,5,3,80,60.0,neutral or dissatisfied
Male,Loyal Customer,25,Personal Travel,Eco,2248,2,4,2,2,4,2,4,4,5,2,4,4,4,4,10,0.0,neutral or dissatisfied
Male,disloyal Customer,44,Business travel,Business,1121,1,1,1,2,3,1,3,3,2,3,1,1,2,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,54,Business travel,Business,325,2,4,2,2,3,2,2,2,2,2,2,1,2,1,11,7.0,neutral or dissatisfied
Female,Loyal Customer,15,Personal Travel,Eco,564,3,5,3,3,1,3,1,1,3,4,4,4,4,1,0,1.0,neutral or dissatisfied
Male,Loyal Customer,57,Personal Travel,Eco,834,2,5,2,2,5,2,5,5,5,3,5,3,4,5,0,0.0,neutral or dissatisfied
Male,Loyal Customer,56,Business travel,Business,1918,1,1,1,1,2,5,4,4,4,4,4,4,4,3,0,0.0,satisfied
Female,Loyal Customer,14,Personal Travel,Eco,2475,5,5,5,3,1,5,1,1,1,4,5,1,2,1,8,7.0,satisfied
Male,Loyal Customer,26,Business travel,Business,1452,5,5,5,5,4,4,4,4,3,3,4,5,4,4,22,5.0,satisfied
Female,Loyal Customer,41,Business travel,Business,3582,2,2,2,2,3,4,4,2,2,2,2,5,2,3,89,54.0,satisfied
